q,n_scales,tau,alpha,f,Dq,r2_tau,r2_alpha,r2_f,geom_ok,fit_ok,valid,threshold,selected
-8.0,11,-4.23792771683737,-0.0015865646283235702,4.250620233863996,0.4708808574263744,0.9897985534077405,0.45647070203042256,0.9903989558760756,False,False,False,0.9,False
-7.75,11,-4.238361675259938,-0.0018943096268168738,4.253042574867788,0.48438419145827866,0.9898195379695753,0.4569094756076412,0.9905109925848932,False,False,False,0.9,False
-7.5,11,-4.238879921644333,-0.0022627247740024535,4.255850357449312,0.4986917554875686,0.989844575284675,0.45739049398484927,0.9906398166166996,False,False,False,0.9,False
-7.25,11,-4.2394991091562515,-0.0027040836257440325,4.259103715442855,0.5138786798977275,0.98987445504298,0.4579157604291814,0.9907876957049796,False,False,False,0.9,False
-7.0,11,-4.2402392712200365,-0.003233240123896793,4.262871952087352,0.5300299089025046,0.9899101223433692,0.45848616505896944,0.9909571305391218,False,False,False,0.9,False
-6.75,11,-4.241124535392992,-0.003868198446027174,4.267234874903706,0.5472418755345797,0.9899527085159293,0.45910064819043267,0.9911508549674662,False,False,False,0.9,False
-6.5,11,-4.2421839954706755,-0.004630813311434048,4.272284281995009,0.5656245327294234,0.9900035680469788,0.4597548718505545,0.9913718265045004,False,False,False,0.9,False
-6.25,11,-4.243452777790068,-0.005547647975958168,4.278125577639835,0.5853038314193197,0.9900643227841214,0.46043911158346507,0.9916232033337914,False,False,False,0.9,False
-6.0,11,-4.24497334467293,-0.006651017785722689,4.284879451387272,0.6064247635247043,0.9901369148057034,0.4611349054020976,0.9919083029089988,False,False,False,0.9,False
-5.75,11,-4.246797084332892,-0.007980240688723347,4.2926834682930135,0.6291551236048728,0.9902236695686168,0.4618097094545387,0.9922305357791246,False,False,False,0.9,False
-5.5,11,-4.248986239497549,-0.009583092584369486,4.301693248711536,0.6536901906919307,0.990327371186886,0.46240833400979936,0.9925933060604685,False,False,False,0.9,False
-5.25,11,-4.251616219859823,-0.011517403309990569,4.312082587237323,0.6802585951775717,0.990451351901711,0.4628391374505525,0.9929998662788069,False,False,False,0.9,False
-5.0,11,-4.254778311578748,-0.013852582166326247,4.324041222410374,0.7091297185964579,0.9905995978779404,0.46295161104084576,0.9934531074171676,False,False,False,0.9,False
-4.75,11,-4.258582708350129,-0.016670530910453268,4.337767730174832,0.740623079713066,0.9907768731440234,0.4624996905714006,0.9939552512958881,False,False,False,0.9,False
-4.5,11,-4.263161573768773,-0.020064674008709798,4.35345260680792,0.7751202861397769,0.9909888621547631,0.46108116909618774,0.9945073843537627,False,False,False,0.9,False
-4.25,11,-4.268671354529655,-0.024134253072098526,4.371241930086091,0.8130802580056485,0.9912423276098749,0.4580366909018951,0.9951087145535614,False,False,False,0.9,False
-4.0,11,-4.275292477617086,-0.028967614578452615,4.391162935930913,0.8550584955234172,0.991545270349884,0.4522797608843615,0.9957553188346155,False,False,False,0.9,False
-3.75,11,-4.283222195111502,-0.03460088525312968,4.41297551481073,0.9017309884445268,0.9919070545664309,0.44200835815622874,0.9964379324853553,False,False,False,0.9,False
-3.5,11,-4.292651231201865,-0.040922847058804425,4.43588119590767,0.9539224958226367,0.992338407263412,0.42421467710492533,0.9971379642652676,False,False,False,0.9,False
-3.25,11,-4.303704016175301,-0.047464388289710766,4.4579632781168845,1.0126362391000707,0.9928510815832606,0.39386751972085404,0.9978204360013895,False,False,False,0.9,False
-3.0,11,-4.316299682091119,-0.05294620428991703,4.475138294960861,1.0790749205227796,0.9934567290106502,0.3426848866376038,0.9984224078968463,False,False,False,0.9,False
-2.75,11,-4.329845996909034,-0.05434080353946093,4.479283206642515,1.1546255991757424,0.9941640852655266,0.2582500095369171,0.9988375793608363,False,False,False,0.9,False
-2.5,11,-4.342596884253442,-0.04503674916835042,4.455188757174303,1.240741966929555,0.9949730023178796,0.13052216845232062,0.9989075820883488,False,False,False,0.9,False
-2.25,11,-4.350387446320402,-0.011635965458579667,4.376568368602197,1.33858075271397,0.9958639112856899,0.006325765757084113,0.9984574006027842,False,False,False,0.9,False
-2.0,11,-4.344410924694437,0.07027399633329076,4.203862932027866,1.4481369748981459,0.9967846783830305,0.13524592696986243,0.9974512285451363,False,False,False,0.9,False
-1.75,11,-4.308163041408063,0.23730654029264492,3.892876595895934,1.5666047423302047,0.9976478606516147,0.5785854377947883,0.9962965057774433,False,False,False,0.9,False
-1.5,11,-4.21564029653013,0.5243871894691456,3.4290595123264125,1.686256118612052,0.9983630638093538,0.8651751472357985,0.9959356795016666,False,False,False,0.9,False
-1.25,11,-4.03628348036328,0.924801993520642,2.880280988462488,1.7939037690503465,0.9988984294631924,0.9606006301405703,0.9969521454639616,False,True,False,0.9,False
-1.0,11,-3.750512424640663,1.356604407551862,2.3939080170887985,1.8752562123203316,0.9992886601120358,0.9869194847707654,0.9985216868262246,False,True,False,0.9,False
-0.75,11,-3.3650456735018888,1.7058952323857168,2.0856242492125876,1.9228832420010793,0.9995663222831767,0.9949167002541955,0.999561933426709,False,True,False,0.9,False
-0.5,11,-2.9095290784573256,1.9143700890322393,1.952344033941203,1.9396860523048838,0.9997408767027316,0.998010906165031,0.9998926959680701,True,True,True,0.9,True
-0.25,11,-2.418352560620049,1.9978575669148544,1.9188881688913366,1.9346820484960392,0.9998319790060184,0.9992737970108585,0.9998891555577161,True,True,True,0.9,True
0.0,11,-1.9171621856219212,2.0022923025601944,1.9171621856219676,1.9171621856219212,0.9998708807591271,0.9997214658109674,0.9998708807591273,True,True,True,0.9,True
0.25,11,-1.4203972653626624,1.9678769104890526,1.9123664929849242,1.8938630204835498,0.9998837100563445,0.9998507006343202,0.9998782675044403,True,True,True,0.9,False
0.5,11,-0.9343666307100942,1.919314139475536,1.8940237004478728,1.8687332614201884,0.9998866101749246,0.9998780253629507,0.9998837930895704,True,True,True,0.9,False
0.75,11,-0.4609098797294419,1.8684531636545996,1.8622497524703787,1.8436395189177677,0.999887852904969,0.9998838224095737,0.99988530169227,True,True,True,0.9,False
1.0,11,0.0,1.8191446367073683,1.8191446367073683,1.8191446367073683,,0.9998887114345835,0.9998887114345835,True,False,False,0.9,False
1.25,11,0.4487835005198796,1.7712553735280303,1.7652857163901587,1.7951340020795183,0.9998821610082826,0.9998553958094285,0.9998449357997607,True,True,True,0.9,True
1.5,11,0.8856382734866844,1.7235177706195188,1.6996383824425836,1.771276546973369,0.9998507823455327,0.9996561985014819,0.9994862353190442,True,True,True,0.9,True
1.75,11,1.3104961139901499,1.6752709344624672,1.6212280213191623,1.7473281519868664,0.9997653097376108,0.9990429097649728,0.9979770098635397,True,True,True,0.9,True
2.0,11,1.723278942787473,1.6271229940679603,1.53096704534846,1.723278942787473,0.9995855839282475,0.9976596633259716,0.9933602416724797,True,True,True,0.9,True
2.25,11,2.1242019175345614,1.5807172340018907,1.4324118589696937,1.6993615340276491,0.9992654411306019,0.9951354844857304,0.9820284396684443,True,True,True,0.9,True
2.5,11,2.513947462212716,1.5380156090191945,1.3310915603352795,1.6759649748084773,0.9987613402336383,0.9912424475158554,0.9588889104468951,True,True,True,0.9,True
2.75,11,2.8936511326282854,1.5005828697354555,1.2329517591441943,1.6535149329304488,0.9980420789615236,0.9860313095109852,0.9190878929601588,True,True,True,0.9,True
3.0,11,3.264744627546928,1.4691907882115274,1.1428277370876627,1.632372313773464,0.9970957520373941,0.9798439736913118,0.8611047578426846,True,False,False,0.9,False
3.25,11,3.6287480730005934,1.4437972902198024,1.0635931202137698,1.6127769213335972,0.9959313204515817,0.9731886776530391,0.7888493827553481,True,False,False,0.9,False
3.5,11,3.9870911111994825,1.4237680375854673,0.996097020349658,1.594836444479793,0.9945748740178982,0.9665647010826933,0.7102459622025814,True,False,False,0.9,False
3.75,11,4.341001236023535,1.4081669182656467,0.9396247074726504,1.5785459040085583,0.9930628638027355,0.9603373079692806,0.6333199885289538,True,False,False,0.9,False
4.0,11,4.691460322132011,1.3959982337113261,0.8925326127132974,1.563820107377337,0.9914350744957415,0.954700829015766,0.5632450831462509,True,False,False,0.9,False
4.25,11,5.039210635248972,1.3863585389043849,0.8528131550946525,1.550526349307376,0.9897292207234009,0.9497068887194361,0.5019097929169544,True,False,False,0.9,False
4.5,11,5.384788008786185,1.3785057723152325,0.818487966632356,1.5385108596531956,0.987977792888094,0.9453168590643678,0.4489968947347002,True,False,False,0.9,False
4.75,11,5.728564671727096,1.3718720751608653,0.7878276852870166,1.5276172457938921,0.9862068771379364,0.9414499116154759,0.4032101872859726,True,False,False,0.9,False
5.0,11,6.070791018842668,1.3660462942764888,0.7594404525397783,1.517697754710667,0.9844363065443749,0.9380157598971451,0.3630745747189186,True,False,False,0.9,False
5.25,11,6.411631228044862,1.3607446335275664,0.7322780979748615,1.5086191124811439,0.9826805105039114,0.9349323607406353,0.32731100547288877,True,False,False,0.9,False
5.5,11,6.751191237330095,1.3557801059280048,0.7055993452739412,1.5002647194066876,0.9809496015927465,0.9321329361665346,0.29494875143349375,True,False,False,0.9,False
5.75,11,7.089539496763495,1.3510357680594793,0.678916169578516,1.4925346308975778,0.9792504289110423,0.9295668083411407,0.2653118711025627,True,False,False,0.9,False
6.0,11,7.426721691197001,1.3464433352284215,0.6519383201735026,1.4853443382394,0.9775874723596893,0.9271973098811174,0.23795978097767925,True,False,False,0.9,False
6.25,11,7.762770787780211,1.3419670657386515,0.6245233730863413,1.4786230071962305,0.9759635429972009,0.924998733989754,0.2126206870763722,True,False,False,0.9,False
6.5,11,8.097713632140374,1.3375921072157468,0.5966350647619605,1.4723115694800681,0.9743803018658975,0.9229533370844082,0.1891337129694557,True,False,False,0.9,False
6.75,11,8.43157508772441,1.3333163365010166,0.568310183657457,1.4663608848216365,0.9728386288263076,0.9210488202816745,0.16740433422142634,True,False,False,0.9,False
7.0,11,8.764380477621174,1.3291448038992884,0.5396331496738551,1.460730079603529,0.9713388765287276,0.9192763981454912,0.14737276815891753,True,False,False,0.9,False
7.25,11,9.096156885420948,1.3250860545834828,0.5107170103093133,1.4553851016673516,0.9698810409660561,0.9176294125617989,0.12899311421862722,True,False,False,0.9,False
7.5,11,9.426933711337302,1.3211497694876186,0.481689559819862,1.4502974940518927,0.9684648738555228,0.916102392839269,0.11222064768502531,True,False,False,0.9,False
7.75,11,9.75674275936936,1.3173453149095544,0.4526834311796942,1.4454433717584236,0.9670899557903748,0.9146904539188824,0.09700490860252904,True,False,False,0.9,False
8.0,11,10.085618043767736,1.3136809063632193,0.4238292071380356,1.440802577681105,0.9657557436965497,0.9133889364540996,0.08328668503607914,True,False,False,0.9,False
